well	subject	donor	recipient	controls	replicate
G10	XBA	XKB-029	XBA-drop-out	NA	2
G11	XBA	super-community	XBA-drop-out	NA	2
G12	XBA	blank	XBA-drop-out	NA	2
H1	XBA	XBB-029	blank	strainOnly	2
H2	XBA	XCB-029	blank	strainOnly	2
H3	XBA	XDB-029	blank	strainOnly	2
H4	XBA	XEB-029	blank	strainOnly	2
H5	XBA	XFB-029	blank	strainOnly	2
H6	XBA	XGB-029	blank	strainOnly	2
H7	XBA	XHB-029	blank	strainOnly	2
H8	XBA	XIB-029	blank	strainOnly	2
H9	XBA	XJB-029	blank	strainOnly	2
H10	XBA	XKB-029	blank	strainOnly	2
H11	XBA	super-community	blank	strainOnly	2
H12	XBA	blank	blank	blank	2
