filename	round2plate	round1index	well	plate	group	donor	recipient
16S-B-A1-L1	B	1	A1	e0059-A-5	e0059	XBB-029	blank
16S-B-B1-L1	B	1	B1	e0059-A-5	e0059	XBB-029	full-community
16S-B-C1-L1	B	1	C1	e0059-A-5	e0059	XBB-029	bacte-dropped
16S-B-D1-L1	B	1	D1	e0059-A-5	e0059	XBB-029	bacte-dropped-half_1-2
16S-B-E1-L1	B	1	E1	e0059-A-5	e0059	XBB-029	lachn-dropped
16S-B-F1-L1	B	1	F1	e0059-A-5	e0059	XBB-029	rumin-dropped
16S-B-G1-L1	B	1	G1	e0059-A-5	e0059	XBB-029	strep-dropped
16S-B-H1-L1	B	1	H1	e0059-A-5	e0059	XBB-029	one-bacte-dropped
16S-B-A2-L1	B	1	A2	e0059-A-5	e0059	XCB-029	blank
16S-B-B2-L1	B	1	B2	e0059-A-5	e0059	XCB-029	full-community
16S-B-C2-L1	B	1	C2	e0059-A-5	e0059	XCB-029	bacte-dropped
16S-B-D2-L1	B	1	D2	e0059-A-5	e0059	XCB-029	bacte-dropped-half_1-2
16S-B-E2-L1	B	1	E2	e0059-A-5	e0059	XCB-029	lachn-dropped
16S-B-F2-L1	B	1	F2	e0059-A-5	e0059	XCB-029	rumin-dropped
16S-B-G2-L1	B	1	G2	e0059-A-5	e0059	XCB-029	strep-dropped
16S-B-H2-L1	B	1	H2	e0059-A-5	e0059	XCB-029	one-bacte-dropped
16S-B-A3-L1	B	1	A3	e0059-A-5	e0059	XDB-029	blank
16S-B-B3-L1	B	1	B3	e0059-A-5	e0059	XDB-029	full-community
16S-B-C3-L1	B	1	C3	e0059-A-5	e0059	XDB-029	bacte-dropped
16S-B-D3-L1	B	1	D3	e0059-A-5	e0059	XDB-029	bacte-dropped-half_1-2
16S-B-E3-L1	B	1	E3	e0059-A-5	e0059	XDB-029	lachn-dropped
16S-B-F3-L1	B	1	F3	e0059-A-5	e0059	XDB-029	rumin-dropped
16S-B-G3-L1	B	1	G3	e0059-A-5	e0059	XDB-029	strep-dropped
16S-B-H3-L1	B	1	H3	e0059-A-5	e0059	XDB-029	one-bacte-dropped
16S-B-A4-L1	B	1	A4	e0059-A-5	e0059	XEB-029	blank
16S-B-B4-L1	B	1	B4	e0059-A-5	e0059	XEB-029	full-community
16S-B-C4-L1	B	1	C4	e0059-A-5	e0059	XEB-029	bacte-dropped
16S-B-D4-L1	B	1	D4	e0059-A-5	e0059	XEB-029	bacte-dropped-half_1-2
16S-B-E4-L1	B	1	E4	e0059-A-5	e0059	XEB-029	lachn-dropped
16S-B-F4-L1	B	1	F4	e0059-A-5	e0059	XEB-029	rumin-dropped
16S-B-G4-L1	B	1	G4	e0059-A-5	e0059	XEB-029	strep-dropped
16S-B-H4-L1	B	1	H4	e0059-A-5	e0059	XEB-029	one-bacte-dropped
16S-B-A5-L1	B	1	A5	e0059-A-5	e0059	XFB-029	blank
16S-B-B5-L1	B	1	B5	e0059-A-5	e0059	XFB-029	full-community
16S-B-C5-L1	B	1	C5	e0059-A-5	e0059	XFB-029	bacte-dropped
16S-B-D5-L1	B	1	D5	e0059-A-5	e0059	XFB-029	bacte-dropped-half_1-2
16S-B-E5-L1	B	1	E5	e0059-A-5	e0059	XFB-029	lachn-dropped
16S-B-F5-L1	B	1	F5	e0059-A-5	e0059	XFB-029	rumin-dropped
16S-B-G5-L1	B	1	G5	e0059-A-5	e0059	XFB-029	strep-dropped
16S-B-H5-L1	B	1	H5	e0059-A-5	e0059	XFB-029	one-bacte-dropped
16S-B-A6-L1	B	1	A6	e0059-A-5	e0059	XGB-029	blank
16S-B-B6-L1	B	1	B6	e0059-A-5	e0059	XGB-029	full-community
16S-B-C6-L1	B	1	C6	e0059-A-5	e0059	XGB-029	bacte-dropped
16S-B-D6-L1	B	1	D6	e0059-A-5	e0059	XGB-029	bacte-dropped-half_1-2
16S-B-E6-L1	B	1	E6	e0059-A-5	e0059	XGB-029	lachn-dropped
16S-B-F6-L1	B	1	F6	e0059-A-5	e0059	XGB-029	rumin-dropped
16S-B-G6-L1	B	1	G6	e0059-A-5	e0059	XGB-029	strep-dropped
16S-B-H6-L1	B	1	H6	e0059-A-5	e0059	XGB-029	one-bacte-dropped
16S-B-A7-L1	B	1	A7	e0059-A-5	e0059	XHB-029	blank
16S-B-B7-L1	B	1	B7	e0059-A-5	e0059	XHB-029	full-community
16S-B-C7-L1	B	1	C7	e0059-A-5	e0059	XHB-029	bacte-dropped
16S-B-D7-L1	B	1	D7	e0059-A-5	e0059	XHB-029	bacte-dropped-half_1-2
16S-B-E7-L1	B	1	E7	e0059-A-5	e0059	XHB-029	lachn-dropped
16S-B-F7-L1	B	1	F7	e0059-A-5	e0059	XHB-029	rumin-dropped
16S-B-G7-L1	B	1	G7	e0059-A-5	e0059	XHB-029	strep-dropped
16S-B-H7-L1	B	1	H7	e0059-A-5	e0059	XHB-029	one-bacte-dropped
16S-B-A8-L1	B	1	A8	e0059-A-5	e0059	XIB-029	blank
16S-B-B8-L1	B	1	B8	e0059-A-5	e0059	XIB-029	full-community
16S-B-C8-L1	B	1	C8	e0059-A-5	e0059	XIB-029	bacte-dropped
16S-B-D8-L1	B	1	D8	e0059-A-5	e0059	XIB-029	bacte-dropped-half_1-2
16S-B-E8-L1	B	1	E8	e0059-A-5	e0059	XIB-029	lachn-dropped
16S-B-F8-L1	B	1	F8	e0059-A-5	e0059	XIB-029	rumin-dropped
16S-B-G8-L1	B	1	G8	e0059-A-5	e0059	XIB-029	strep-dropped
16S-B-H8-L1	B	1	H8	e0059-A-5	e0059	XIB-029	one-bacte-dropped
16S-B-A9-L1	B	1	A9	e0059-A-5	e0059	XJB-029	blank
16S-B-B9-L1	B	1	B9	e0059-A-5	e0059	XJB-029	full-community
16S-B-C9-L1	B	1	C9	e0059-A-5	e0059	XJB-029	bacte-dropped
16S-B-D9-L1	B	1	D9	e0059-A-5	e0059	XJB-029	bacte-dropped-half_1-2
16S-B-E9-L1	B	1	E9	e0059-A-5	e0059	XJB-029	lachn-dropped
16S-B-F9-L1	B	1	F9	e0059-A-5	e0059	XJB-029	rumin-dropped
16S-B-G9-L1	B	1	G9	e0059-A-5	e0059	XJB-029	strep-dropped
16S-B-H9-L1	B	1	H9	e0059-A-5	e0059	XJB-029	one-bacte-dropped
16S-B-A10-L1	B	1	A10	e0059-A-5	e0059	XKB-029	blank
16S-B-B10-L1	B	1	B10	e0059-A-5	e0059	XKB-029	full-community
16S-B-C10-L1	B	1	C10	e0059-A-5	e0059	XKB-029	bacte-dropped
16S-B-D10-L1	B	1	D10	e0059-A-5	e0059	XKB-029	bacte-dropped-half_1-2
16S-B-E10-L1	B	1	E10	e0059-A-5	e0059	XKB-029	lachn-dropped
