"level" "taxa" "taxashort" "hex" "R" "G" "B"
"3" "Bacteria.Proteobacteria.Alphaproteobacteria" "Alphaproteobacteria" "#1A46C1" "0.103448275862069" "0.275862068965517" "0.758620689655172"
"3" "Bacteria.Proteobacteria.Betaproteobacteria" "Betaproteobacteria" "#58D300" "0.344827586206897" "0.827586206896552" "0"
"3" "Bacteria.Proteobacteria.Deltaproteobacteria" "Deltaproteobacteria" "#729535" "0.448275862068966" "0.586206896551724" "0.206896551724138"
"3" "Bacteria.Proteobacteria.Epsilonproteobacteria" "Epsilonproteobacteria" "#E5A735" "0.896551724137931" "0.655172413793103" "0.206896551724138"
"3" "Bacteria.Proteobacteria.Gammaproteobacteria" "Gammaproteobacteria" "#F68D95" "0.96551724137931" "0.551724137931034" "0.586206896551724"
"3" "Bacteria.Spirochaetes.Spirochaetes" "Spirochaetes" "#6A128D" "0.413793103448276" "0.0689655172413793" "0.551724137931034"
"3" "Bacteria.TM6.SJA-4" "SJA-4" "#E561C1" "0.896551724137931" "0.379310344827586" "0.758620689655172"
"3" "Bacteria.Tenericutes.Mollicutes" "Mollicutes" "#EDD3FF" "0.931034482758621" "0.827586206896552" "1"
"3" "Bacteria.Tenericutes.RF3" "RF3" "#9EFF9E" "0.620689655172414" "1" "0.620689655172414"
"3" "Bacteria.Verrucomicrobia.Opitutae" "Opitutae" "#FF4FF6" "1" "0.310344827586207" "0.96551724137931"
"3" "Bacteria.Verrucomicrobia.Verruco-5" "Verruco-5" "#9561FF" "0.586206896551724" "0.379310344827586" "1"
"3" "Bacteria.Verrucomicrobia.Verrucomicrobiae" "Verrucomicrobiae" "#C1B961" "0.758620689655172" "0.724137931034483" "0.379310344827586"
"3" "Bacteria.Verrucomicrobia.[Pedosphaerae]" "[Pedosphaerae]" "#ED2C35" "0.931034482758621" "0.172413793103448" "0.206896551724138"
"3" "Bacteria.Verrucomicrobia.[Spartobacteria]" "[Spartobacteria]" "#B06A84" "0.689655172413793" "0.413793103448276" "0.517241379310345"
"3" "Bacteria.[Thermi].Deinococci" "Deinococci" "#462C58" "0.275862068965517" "0.172413793103448" "0.344827586206897"
"4" "Unassigned.Other.Other.Other" "Unassigned;Other;Other;Other" "#0000FF" "0" "0" "1"
"4" "Archaea.Crenarchaeota.Thaumarchaeota.Nitrososphaerales" "Nitrososphaerales" "#FF0000" "1" "0" "0"
"4" "Archaea.Euryarchaeota.Halobacteria.Halobacteriales" "Halobacteriales" "#00FF00" "0" "1" "0"
"4" "Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales" "Methanobacteriales" "#00002C" "0" "0" "0.172413793103448"
"4" "Archaea.Euryarchaeota.Thermoplasmata.E2" "E2" "#FF1AB9" "1" "0.103448275862069" "0.724137931034483"
"4" "Bacteria.Acidobacteria.Acidobacteria-6.CCU21" "CCU21" "#FFD300" "1" "0.827586206896552" "0"
"4" "Bacteria.Acidobacteria.Acidobacteria-6.iii1-15" "iii1-15" "#005800" "0" "0.344827586206897" "0"
"4" "Bacteria.Acidobacteria.Acidobacteriia.Acidobacteriales" "Acidobacteriales" "#8484FF" "0.517241379310345" "0.517241379310345" "1"
"4" "Bacteria.Acidobacteria.Solibacteres.Solibacterales" "Solibacterales" "#9E4F46" "0.620689655172414" "0.310344827586207" "0.275862068965517"
"4" "Bacteria.Acidobacteria.Sva0725.Sva0725" "Sva0725" "#00FFC1" "0" "1" "0.758620689655172"
"4" "Bacteria.Acidobacteria.[Chloracidobacteria].11-24" "11-24" "#008495" "0" "0.517241379310345" "0.586206896551724"
"4" "Bacteria.Acidobacteria.[Chloracidobacteria].DS-100" "DS-100" "#00007B" "0" "0" "0.482758620689655"
"4" "Bacteria.Acidobacteria.[Chloracidobacteria].RB41" "RB41" "#95D34F" "0.586206896551724" "0.827586206896552" "0.310344827586207"
"4" "Bacteria.Acidobacteria.iii1-8.DS-18" "DS-18" "#F69EDC" "0.96551724137931" "0.620689655172414" "0.862068965517241"
"4" "Bacteria.Actinobacteria.Acidimicrobiia.Acidimicrobiales" "Acidimicrobiales" "#D312FF" "0.827586206896552" "0.0689655172413793" "1"
"4" "Bacteria.Actinobacteria.Actinobacteria.Actinomycetales" "Actinomycetales" "#7B1A6A" "0.482758620689655" "0.103448275862069" "0.413793103448276"
"4" "Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales" "Bifidobacteriales" "#F61261" "0.96551724137931" "0.0689655172413793" "0.379310344827586"
"4" "Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales" "Coriobacteriales" "#FFC184" "1" "0.758620689655172" "0.517241379310345"
"4" "Bacteria.Actinobacteria.MB-A2-108." "" "#232309" "0.137931034482759" "0.137931034482759" "0.0344827586206897"
"4" "Bacteria.Actinobacteria.MB-A2-108.0319-7L14" "0319-7L14" "#8DA77B" "0.551724137931034" "0.655172413793103" "0.482758620689655"
"4" "Bacteria.Actinobacteria.Nitriliruptoria.Euzebyales" "Euzebyales" "#F68409" "0.96551724137931" "0.517241379310345" "0.0344827586206897"
"4" "Bacteria.Actinobacteria.Nitriliruptoria.Nitriliruptorales" "Nitriliruptorales" "#847200" "0.517241379310345" "0.448275862068966" "0"
"4" "Bacteria.Actinobacteria.Rubrobacteria.Rubrobacterales" "Rubrobacterales" "#72F6FF" "0.448275862068966" "0.96551724137931" "1"
"4" "Bacteria.Actinobacteria.Thermoleophilia.Gaiellales" "Gaiellales" "#9EC1FF" "0.620689655172414" "0.758620689655172" "1"
"4" "Bacteria.Actinobacteria.Thermoleophilia.Solirubrobacterales" "Solirubrobacterales" "#72617B" "0.448275862068966" "0.379310344827586" "0.482758620689655"
"4" "Bacteria.Armatimonadetes.Armatimonadia.Armatimonadales" "Armatimonadales" "#9E0000" "0.620689655172414" "0" "0"
"4" "Bacteria.Armatimonadetes.Chthonomonadetes.Chthonomonadales" "Chthonomonadales" "#004FFF" "0" "0.310344827586207" "1"
